P1_decision,P2_decision,P3_decision,P4_decision,P5_decision,P6_decision,P7_decision,P8_decision,all_participants_reached_decision,atomicity_violation,completed,consistent,coordinator_decided,decision,decision_retries,finish_time,loss,mobile,msg_received,msg_sent,n_participants,partial_delivery,prepare_retries,protocol,seed,speed,timeouts,unresolved_participants,until,vote_yes_prob
COMMIT,COMMIT,COMMIT,,,,,,True,False,True,True,True,COMMIT,,2.2195640730595425,0.0,False,,3,3,False,,ONE_SHOT,0,0.0,,0,80.0,1.0
COMMIT,COMMIT,COMMIT,,,,,,True,False,True,True,True,COMMIT,,2.0712831555313747,0.0,False,,3,3,False,,ONE_SHOT,1,0.0,,0,80.0,1.0
COMMIT,COMMIT,COMMIT,,,,,,True,False,True,True,True,COMMIT,,2.5831826051617717,0.0,False,,3,3,False,,ONE_SHOT,2,0.0,,0,80.0,1.0
COMMIT,COMMIT,COMMIT,,,,,,True,False,True,True,True,COMMIT,,2.31954782720008,0.0,False,,3,3,False,,ONE_SHOT,3,0.0,,0,80.0,1.0
COMMIT,COMMIT,COMMIT,,,,,,True,False,True,True,True,COMMIT,,2.1969321548024245,0.0,False,,3,3,False,,ONE_SHOT,4,0.0,,0,80.0,1.0
COMMIT,COMMIT,COMMIT,,,,,,True,False,True,True,True,COMMIT,,2.5796543391110838,0.0,False,,3,3,False,,ONE_SHOT,5,0.0,,0,80.0,1.0
COMMIT,COMMIT,COMMIT,,,,,,True,False,True,True,True,COMMIT,,2.237444061278132,0.0,False,,3,3,False,,ONE_SHOT,6,0.0,,0,80.0,1.0
COMMIT,COMMIT,COMMIT,,,,,,True,False,True,True,True,COMMIT,,2.1450662605084174,0.0,False,,3,3,False,,ONE_SHOT,7,0.0,,0,80.0,1.0
COMMIT,COMMIT,COMMIT,,,,,,True,False,True,True,True,COMMIT,,2.076844783482396,0.0,False,,3,3,False,,ONE_SHOT,8,0.0,,0,80.0,1.0
COMMIT,COMMIT,COMMIT,,,,,,True,False,True,True,True,COMMIT,,2.144401704752994,0.0,False,,3,3,False,,ONE_SHOT,9,0.0,,0,80.0,1.0
COMMIT,COMMIT,COMMIT,,,,,,True,False,True,True,True,COMMIT,,2.338120642866762,0.0,False,,3,3,False,,ONE_SHOT,10,0.0,,0,80.0,1.0
COMMIT,COMMIT,COMMIT,,,,,,True,False,True,True,True,COMMIT,,2.3637725642383276,0.0,False,,3,3,False,,ONE_SHOT,11,0.0,,0,80.0,1.0
